Cog2000 log file Tue Jul 10 18:50:43 2012,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.99Hz,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
463654,[0],:,trigger 462620,,,,
463688,[34],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_6.BMP 463688,,,,
464189,[501],:,image croix 464189,,,,
468956,[4767],:,bouton_1 312,,,,
468956,[0],:,trigger 465019,,,,
468956,[0],:,trigger 467420,,,,
468991,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_3.BMP 468991,,,,
469491,[500],:,image croix 469491,,,,
473858,[4367],:,trigger 469819,,,,
473858,[0],:,bouton_1 516,,,,
473858,[0],:,trigger 472220,,,,
473893,[35],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_8.BMP 473893,,,,
474394,[501],:,image croix 474394,,,,
477061,[2667],:,trigger 474620,,,,
477061,[0],:,trigger 477021,,,,
477095,[34],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_4.BMP 477094,,,,
477595,[500],:,image croix 477595,,,,
483362,[5767],:,trigger 479420,,,,
483362,[0],:,trigger 481819,,,,
483396,[34],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_5.BMP 483396,,,,
483897,[501],:,image croix 483897,,,,
487364,[3467],:,trigger 484220,,,,
487364,[0],:,bouton_1 564,,,,
487364,[0],:,bouton_2 1118,,,,
487366,[2],:,trigger 486619,,,,
487398,[32],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_4.BMP 487398,,,,
487898,[500],:,image croix 487898,,,,
491565,[3667],:,trigger 489021,,,,
491565,[0],:,trigger 491420,,,,
491601,[36],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_8.BMP 491601,,,,
492101,[500],:,image croix 492101,,,,
496268,[4167],:,trigger 493820,,,,
496268,[0],:,trigger 496221,,,,
496268,[0],:,Fin_run 1 : run 1,,,,
496303,[35],:,Key,76.0,UP,at,9589.0
