Cog2000 log file Tue Feb 05 16:10:49 2013,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.99Hz,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogInput.mex,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogSerial.mex,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
745010,[3867],:,bouton_1 164,,,,
745010,[0],:,trigger 742180,,,,
745010,[0],:,trigger 744581,,,,
745044,[34],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_5.bmp 745044,,,,
745545,[501],:,image croix 745544,,,,
749911,[4366],:,bouton_1 166,,,,
749911,[0],:,trigger 746982,,,,
749912,[1],:,trigger 749381,,,,
749947,[35],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_6.bmp 749947,,,,
750447,[500],:,image croix 750447,,,,
755614,[5167],:,bouton_1 265,,,,
755614,[0],:,trigger 751781,,,,
755614,[0],:,trigger 754181,,,,
755649,[35],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_5.bmp 755649,,,,
756149,[500],:,image croix 756149,,,,
760316,[4167],:,bouton_1 226,,,,
760316,[0],:,trigger 756582,,,,
760316,[0],:,trigger 758980,,,,
760319,[3],:,bouton_1 2831,,,,
760322,[3],:,bouton_1 2831,,,,
760351,[29],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_4.bmp 760351,,,,
760851,[500],:,image croix 760851,,,,
765118,[4267],:,trigger 761380,,,,
765118,[0],:,trigger 763781,,,,
765136,[18],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_5.bmp 765136,,,,
765636,[500],:,image croix 765636,,,,
770303,[4667],:,bouton_1 174,,,,
770303,[0],:,trigger 766181,,,,
770303,[0],:,trigger 768582,,,,
770338,[35],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_2.bmp 770338,,,,
770838,[500],:,image croix 770838,,,,
774505,[3667],:,trigger 770980,,,,
774505,[0],:,bouton_1 262,,,,
774505,[0],:,trigger 773380,,,,
774540,[35],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_8.bmp 774540,,,,
775041,[501],:,image croix 775041,,,,
779408,[4367],:,bouton_1 194,,,,
779408,[0],:,trigger 775781,,,,
779408,[0],:,trigger 778180,,,,
779442,[34],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_9.bmp 779442,,,,
779942,[500],:,image croix 779942,,,,
783909,[3967],:,bouton_1 581,,,,
783909,[0],:,trigger 780581,,,,
783909,[0],:,trigger 782981,,,,
783944,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_7.bmp 783944,,,,
784444,[500],:,image croix 784444,,,,
789311,[4867],:,bouton_1 652,,,,
789311,[0],:,trigger 785381,,,,
789311,[0],:,trigger 787782,,,,
789346,[35],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_4.bmp 789346,,,,
789846,[500],:,image croix 789846,,,,
